Time (s),White pixels,Mean Brightness
449.734000,0.127029,50.196078
450.234000,0.141373,50.392157
450.734000,0.118408,50.196078
451.233000,0.115051,50.196078
451.734000,0.115891,50.196078
452.233000,0.123672,50.196078
452.733000,0.130005,50.196078
453.233000,0.131149,50.196078
453.734000,0.123444,50.196078
454.234000,0.126877,50.196078
454.733000,0.139694,50.196078
455.234000,0.139694,50.392157
455.733000,0.142670,50.196078
456.234000,0.142822,50.392157
456.733000,0.164185,50.196078
457.233000,0.166550,50.196078
457.734000,0.158081,50.196078
458.234000,0.170059,50.196078
458.733000,0.173798,50.196078
459.233000,0.172195,50.196078
459.733000,0.168686,50.392157
460.233000,0.164490,50.196078
460.734000,0.165176,50.196078
461.234000,0.163422,50.196078
461.733000,0.154800,50.392157
462.233000,0.145416,50.196078
462.734000,0.143509,50.196078
463.235000,0.149307,50.196078
463.734000,0.135422,50.196078
464.233000,0.129776,50.392157
